,Empresa,Nombre completo,Categoria,Producto,Precio
0,Óptica Universitaria,BEO S179 C01,Ofertas montura + cristales,Marca Propia,49.0
1,Óptica Universitaria,BEO 526 C1,Ofertas montura + cristales,Marca Propia,49.0
2,Óptica Universitaria,KYPERS TONYA TNY001,Ofertas montura + cristales,Kypers,49.0
3,Óptica Universitaria,KYPERS ENRIQUE ERQ001,Ofertas montura + cristales,Kypers,49.0
4,Óptica Universitaria,BEO S182 C02,Ofertas montura + cristales,Marca Propia,49.0
5,Óptica Universitaria,BEO S183 C03,Ofertas montura + cristales,Marca Propia,49.0
6,Óptica Universitaria,BEO 525 C1,Ofertas montura + cristales,Marca Propia,49.0
7,Óptica Universitaria,BEO 527 C2,Ofertas montura + cristales,Marca Propia,49.0
8,Óptica Universitaria,KYPERS MIRANDA MRD001,Ofertas montura + cristales,Kypers,49.0
9,Óptica Universitaria,KYPERS MIRANDA MRD002,Ofertas montura + cristales,Kypers,49.0
10,Óptica Universitaria,KYPERS OLAF OLF001 ,Ofertas montura + cristales,Kypers,49.0
11,Óptica Universitaria,KYPERS AGATTA AGT001,Ofertas montura + cristales,Kypers,49.0
12,Óptica Universitaria,KYPERS ZITA ZTA002,Ofertas montura + cristales,Kypers,49.0
13,Óptica Universitaria,KYPERS ZITA ZTA003,Ofertas montura + cristales,Kypers,49.0
14,Óptica Universitaria,KYPERS HECTOR HCT002,Ofertas montura + cristales,Kypers,49.0
15,Óptica Universitaria,KYPERS HECTOR HCT003,Ofertas montura + cristales,Kypers,49.0
16,Óptica Universitaria,KYPERS POL POL003,Ofertas montura + cristales,Kypers,49.0
17,Óptica Universitaria,BEO S182 C01,Ofertas montura + cristales,Marca Propia,49.0
18,Óptica Universitaria,BEO S178 C01,Ofertas montura + cristales,Marca Propia,49.0
19,Óptica Universitaria,BEO S179 C02,Ofertas montura + cristales,Marca Propia,49.0
20,Óptica Universitaria,BEO 532 C01,Ofertas montura + cristales,Marca Propia,49.0
21,Óptica Universitaria,BEO 533 C01,Ofertas montura + cristales,Marca Propia,49.0
22,Óptica Universitaria,BEO 533 C03,Ofertas montura + cristales,Marca Propia,49.0
23,Óptica Universitaria,BEO 533 C02,Ofertas montura + cristales,Marca Propia,49.0
24,Óptica Universitaria,BEO 531 C01,Ofertas montura + cristales,Marca Propia,49.0
25,Óptica Universitaria,BEO 529 C04,Ofertas montura + cristales,Marca Propia,49.0
26,Óptica Universitaria,BEO 530 C03,Ofertas montura + cristales,Marca Propia,49.0
27,Óptica Universitaria,BEO 525 C3,Ofertas montura + cristales,Marca Propia,49.0
28,Óptica Universitaria,BEO 528 C2,Ofertas montura + cristales,Marca Propia,49.0
29,Óptica Universitaria,BEO 534 C03,Ofertas montura + cristales,Marca Propia,49.0
30,Óptica Universitaria,BEO S180 C02,Ofertas montura + cristales,Marca Propia,49.0
31,Óptica Universitaria,EXIT ABC070 FP513,Ofertas montura + cristales,EXIT,49.0
32,Óptica Universitaria,SCALPERS SINGAPUR 01,Ofertas montura + cristales,Scalpers,79.0
33,Óptica Universitaria,SCALPERS SINGAPUR 02,Ofertas montura + cristales,Scalpers,79.0
34,Óptica Universitaria,SCALPERS SINGAPUR 03 ,Ofertas montura + cristales,Scalpers,79.0
35,Óptica Universitaria,SCALPERS YAKARTA 02,Ofertas montura + cristales,Scalpers,79.0
36,Óptica Universitaria,SCALPERS ROMA 02,Ofertas montura + cristales,Scalpers,79.0
37,Óptica Universitaria,EXIT OU030 FP488/N,Ofertas montura + cristales,EXIT,32.0
38,Óptica Universitaria,POLAROID PLD D482/G 789,Ofertas montura + cristales,Polaroid,69.0
39,Óptica Universitaria,POLAROID PLD 4143 S X 086 SP,Ofertas montura + cristales,Polaroid,69.0
40,Óptica Universitaria,TOMMYHILFIGER TH 2017 S PJP KU,Ofertas montura + cristales,Tommy Hilfiger,89.0
41,Óptica Universitaria,POLAROID PLD D486 J5G,Ofertas montura + cristales,Polaroid,69.0
42,Óptica Universitaria,KYPERS KHADI KHD001,Ofertas montura + cristales,Kypers,49.0
43,Óptica Universitaria,KYPERS MIRANDA MRD003,Ofertas montura + cristales,Kypers,49.0
44,Óptica Universitaria,KYPERS ENRIQUE ERQ002,Ofertas montura + cristales,Kypers,49.0
45,Óptica Universitaria,KYPERS ENRIQUE ERQ003,Ofertas montura + cristales,Kypers,49.0
46,Óptica Universitaria,KYPERS THIAGO THG001,Ofertas montura + cristales,Kypers,49.0
47,Óptica Universitaria,KYPERS THIAGO THG002,Ofertas montura + cristales,Kypers,49.0
48,Óptica Universitaria,KYPERS THIAGO THG003,Ofertas montura + cristales,Kypers,49.0
49,Óptica Universitaria,KYPERS MONIQUE MNQ001,Ofertas montura + cristales,Kypers,49.0
50,Óptica Universitaria,KYPERS MONIQUE MNQ002,Ofertas montura + cristales,Kypers,49.0
51,Óptica Universitaria,KYPERS MONIQUE MNQ003,Ofertas montura + cristales,Kypers,49.0
52,Óptica Universitaria,KYPERS OLAF OLF003,Ofertas montura + cristales,Kypers,49.0
53,Óptica Universitaria,KYPERS CIRO CRO003,Ofertas montura + cristales,Kypers,49.0
54,Óptica Universitaria,KYPERS AGATTA AGT003,Ofertas montura + cristales,Kypers,49.0
55,Óptica Universitaria,KYPERS AGATTA AGT004,Ofertas montura + cristales,Kypers,49.0
56,Óptica Universitaria,KYPERS ZITA ZTA001,Ofertas montura + cristales,Kypers,49.0
57,Óptica Universitaria,KYPERS HECTOR HCT001,Ofertas montura + cristales,Kypers,49.0
58,Óptica Universitaria,BEO S182 C03,Ofertas montura + cristales,Marca Propia,49.0
59,Óptica Universitaria,BEO S184 C2,Ofertas montura + cristales,Marca Propia,49.0
60,Óptica Universitaria,BEO S184 C1,Ofertas montura + cristales,Marca Propia,49.0
61,Óptica Universitaria,BEO S184 C3,Ofertas montura + cristales,Marca Propia,49.0
62,Óptica Universitaria,BEO S183 C02,Ofertas montura + cristales,Marca Propia,49.0
63,Óptica Universitaria,BEO S178 C02,Ofertas montura + cristales,Marca Propia,49.0
64,Óptica Universitaria,BEO S181 C02,Ofertas montura + cristales,Marca Propia,49.0
65,Óptica Universitaria,BEO S181 C03,Ofertas montura + cristales,Marca Propia,49.0
66,Óptica Universitaria,BEO S179 C03,Ofertas montura + cristales,Marca Propia,49.0
67,Óptica Universitaria,BEO 532 C02,Ofertas montura + cristales,Marca Propia,49.0
68,Óptica Universitaria,BEO 532 C03,Ofertas montura + cristales,Marca Propia,49.0
69,Óptica Universitaria,BEO 531 C02,Ofertas montura + cristales,Marca Propia,49.0
70,Óptica Universitaria,BEO 531 C03,Ofertas montura + cristales,Marca Propia,49.0
71,Óptica Universitaria,BEO 529 C02,Ofertas montura + cristales,Marca Propia,49.0
72,Óptica Universitaria,BEO 529C 01,Ofertas montura + cristales,Marca Propia,49.0
73,Óptica Universitaria,BEO 529 C03,Ofertas montura + cristales,Marca Propia,49.0
74,Óptica Universitaria,BEO 530 C01,Ofertas montura + cristales,Marca Propia,49.0
75,Óptica Universitaria,BEO 530 C02,Ofertas montura + cristales,Marca Propia,49.0
76,Óptica Universitaria,BEO 530 C04,Ofertas montura + cristales,Marca Propia,49.0
