,Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
0,Opticalia,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 90,Lentes de contacto,Marca Propia,Diario,49.95
1,Opticalia,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 30,Lentes de contacto,Marca Propia,Diario,20.95
2,Opticalia,VISTASOFT LENTES DIARIAS ASFÉRICAS 90,Lentes de contacto,Marca Propia,Diario,44.95
3,Opticalia,VISTASOFT LENTES DIARIAS ASFÉRICAS 30,Lentes de contacto,Marca Propia,Diario,18.95
4,Opticalia,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición Low),Lentes de contacto,Marca Propia,Diario,52.5
5,Opticalia,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición High),Lentes de contacto,Marca Propia,Diario,52.5
6,Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -2,25)",Lentes de contacto,Marca Propia,Diario,48.5
7,Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,75)",Lentes de contacto,Marca Propia,Diario,48.5
8,Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,25)",Lentes de contacto,Marca Propia,Diario,48.5
9,Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -0,75)",Lentes de contacto,Marca Propia,Diario,48.5
10,Opticalia,1 DAY SILICONE PREMIUM (90 uds),Lentes de contacto,Marca Propia,Diario,85.5
11,Opticalia,1 DAY SILICONE PREMIUM (30 uds),Lentes de contacto,Marca Propia,Diario,29.5
12,Opticalia,LENTES 1 DAY TORIC SILICONE -2.25 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
13,Opticalia,LENTES 1 DAY TORIC SILICONE -1.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
14,Opticalia,LENTES 1 DAY TORIC SILICONE -1.25 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
15,Opticalia,LENTES 1 DAY TORIC SILICONE -0.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
16,Opticalia,LENTES DIARIAS TORICAS 1.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,38.5
17,Opticalia,LENTES DIARIAS TORICAS -1.25 cilindro (30 uds ),Lentes de contacto,Marca Propia,Diario,38.5
18,Opticalia,LENTES DIARIAS TORICAS -0.75 cilindro (30 uds ),Lentes de contacto,Marca Propia,Diario,38.5
19,Opticalia,LENTES 1 DAY MULTIFOCAL SILICONE (30 uds),Lentes de contacto,Marca Propia,Diario,46.5
20,Opticalia,LENTES 1 DAY SILICONE(90 uds),Lentes de contacto,Marca Propia,Diario,65.5
21,Opticalia,LENTES 1 DAY SILICONE(30 uds),Lentes de contacto,Marca Propia,Diario,24.5
22,Opticalia,LENTES BIO TORIC -2.25 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
23,Opticalia,LENTES INITIAL BIO MULTIFOCAL Low (6 uds),Lentes de contacto,Marca Propia,Mensual,75.5
24,Opticalia,LENTES INITIAL BIO MULTIFOCAL High (6 uds),Lentes de contacto,Marca Propia,Mensual,75.5
25,Opticalia,LENTES BIO MULTIFOCAL N (3 uds),Lentes de contacto,Marca Propia,Mensual,43.0
26,Opticalia,LENTES BIO MULTIFOCAL D (3 uds),Lentes de contacto,Marca Propia,Mensual,43.0
27,Opticalia,LENTES BIO DYNAMIC (3 uds),Lentes de contacto,Marca Propia,Mensual,30.0
28,Opticalia,LENTES BIO TORIC -1.75 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
29,Opticalia,LENTES BIO TORIC -1.25 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
30,Opticalia,LENTES BIO TORIC -0.75 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
31,Opticalia,LENTES BIO (3 uds),Lentes de contacto,Marca Propia,Mensual,23.0
32,Opticalia,LENTES INITIAL BIO TORIC H20 -2.25 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
33,Opticalia,LENTES INITIAL BIO TORIC H20 -1.75 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
34,Opticalia,LENTES INITIAL BIO TORIC H20 -1.25 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
35,Opticalia,LENTES INITIAL BIO TORIC H20 -0.75 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
36,Opticalia,LENTES INITIAL BIO H20 (6 uds),Lentes de contacto,Marca Propia,Mensual,33.5
