Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
Opticalia,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 90,Lentes de contacto,Marca Propia,Diario,49.95
Opticalia,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 30,Lentes de contacto,Marca Propia,Diario,20.95
Opticalia,VISTASOFT LENTES DIARIAS ASFÉRICAS 90,Lentes de contacto,Marca Propia,Diario,44.95
Opticalia,VISTASOFT LENTES DIARIAS ASFÉRICAS 30,Lentes de contacto,Marca Propia,Diario,18.95
Opticalia,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición Low),Lentes de contacto,Marca Propia,Diario,52.5
Opticalia,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición High),Lentes de contacto,Marca Propia,Diario,52.5
Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -2,25)",Lentes de contacto,Marca Propia,Diario,48.5
Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,75)",Lentes de contacto,Marca Propia,Diario,48.5
Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,25)",Lentes de contacto,Marca Propia,Diario,48.5
Opticalia,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -0,75)",Lentes de contacto,Marca Propia,Diario,48.5
Opticalia,1 DAY SILICONE PREMIUM (90 uds),Lentes de contacto,Marca Propia,Diario,85.5
Opticalia,1 DAY SILICONE PREMIUM (30 uds),Lentes de contacto,Marca Propia,Diario,29.5
Opticalia,LENTES 1 DAY TORIC SILICONE -2.25 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
Opticalia,LENTES 1 DAY TORIC SILICONE -1.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
Opticalia,LENTES 1 DAY TORIC SILICONE -1.25 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
Opticalia,LENTES 1 DAY TORIC SILICONE -0.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,42.5
Opticalia,LENTES DIARIAS TORICAS 1.75 cilindro (30 uds),Lentes de contacto,Marca Propia,Diario,38.5
Opticalia,LENTES DIARIAS TORICAS -1.25 cilindro (30 uds ),Lentes de contacto,Marca Propia,Diario,38.5
Opticalia,LENTES DIARIAS TORICAS -0.75 cilindro (30 uds ),Lentes de contacto,Marca Propia,Diario,38.5
Opticalia,LENTES 1 DAY MULTIFOCAL SILICONE (30 uds),Lentes de contacto,Marca Propia,Diario,46.5
Opticalia,LENTES 1 DAY SILICONE(90 uds),Lentes de contacto,Marca Propia,Diario,65.5
Opticalia,LENTES 1 DAY SILICONE(30 uds),Lentes de contacto,Marca Propia,Diario,24.5
Opticalia,LENTES BIO TORIC -2.25 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
Opticalia,LENTES INITIAL BIO MULTIFOCAL Low (6 uds),Lentes de contacto,Marca Propia,Mensual,75.5
Opticalia,LENTES INITIAL BIO MULTIFOCAL High (6 uds),Lentes de contacto,Marca Propia,Mensual,75.5
Opticalia,LENTES BIO MULTIFOCAL N (3 uds),Lentes de contacto,Marca Propia,Mensual,43.0
Opticalia,LENTES BIO MULTIFOCAL D (3 uds),Lentes de contacto,Marca Propia,Mensual,43.0
Opticalia,LENTES BIO DYNAMIC (3 uds),Lentes de contacto,Marca Propia,Mensual,30.0
Opticalia,LENTES BIO TORIC -1.75 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
Opticalia,LENTES BIO TORIC -1.25 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
Opticalia,LENTES BIO TORIC -0.75 cilindro (3 uds),Lentes de contacto,Marca Propia,Mensual,38.0
Opticalia,LENTES BIO (3 uds),Lentes de contacto,Marca Propia,Mensual,23.0
Opticalia,LENTES INITIAL BIO TORIC H20 -2.25 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
Opticalia,LENTES INITIAL BIO TORIC H20 -1.75 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
Opticalia,LENTES INITIAL BIO TORIC H20 -1.25 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
Opticalia,LENTES INITIAL BIO TORIC H20 -0.75 cilindro (6 uds),Lentes de contacto,Marca Propia,Mensual,65.5
Opticalia,LENTES INITIAL BIO H20 (6 uds),Lentes de contacto,Marca Propia,Mensual,33.5
