,nombre_completo,categoria,precio
0,Afflelou MAGIC JILL,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
1,Afflelou MAGIC TANIA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
2,Afflelou MAGIC OCTAVE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
3,Afflelou MAGIC TARA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
4,Afflelou MAGIC GABBY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
5,Afflelou MAGIC CELESTE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
6,Afflelou MAGIC VICTORIA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
7,Afflelou MAGIC VIVIEN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
8,Afflelou MAGIC DAMIEN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
9,Afflelou MAGIC MOANA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
10,Afflelou MARCELLO,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
11,Afflelou MATYS,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
12,Afflelou DUNE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
13,Afflelou COLOGNY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
14,Afflelou ALEXANE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
15,Afflelou KEYLA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
16,Afflelou ALBANE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
17,Afflelou NOELA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
18,Afflelou DIMITRI,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
19,Afflelou CASTILLE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
20,Afflelou CEYLAN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
21,Afflelou TRACY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
22,Afflelou VIOLETTE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
23,Afflelou MAGIC LOUIS,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
