,nombre_completo,categoria,producto,reemplazo,precio
0,1 DAYACUVUE® MOIST FOR ASTIGMATISM 30P,Diarias,Lentillas,1 mes (para 1 ojo), span span span span34€span span spanprecio webspan 
1,Acuvue® Oasys® 1 Day for Astigmatism 30P,Diarias,Lentillas,1 mes (para 1 ojo), span span span span40€span span spanprecio webspan 
2,Acuvue® Oasys® 1 Day 30P,Diarias,Lentillas,1 mes (para 1 ojo), span span span span35€span span spanprecio webspan 
3,1 Day Acuvue® Moist® Multifocal 30P,Diarias,Lentillas,1 mes (para 1 ojo), span span span span37€span span spanprecio webspan 
4,L'EPHEMERE CONFORT DIARIAS - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span15€span span spanprecio webspan 
5,AIROPTIX HYDRAGLYDE MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span48€span span spanprecio webspan 
6,Air Optix Hydraglyde Multifocal MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span44€span span spanprecio webspan 
7,Air Optix Hydraglyde Multifocal MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span78€span span spanprecio webspan 
8,AIR OPTIX HYDRAGLYDE FOR ASTIGMATISM - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span44€span span spanprecio webspan 
9,Air Optix Hydraglyde for Astigmatism 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span80€span span spanprecio webspan 
10,L'EPHEMERE EASY MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span30€span span spanprecio webspan 
11,L'EPHEMERE AQUA MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span40€span span spanprecio webspan 
12,L'EPHEMERE AQUA MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span20€span span spanprecio webspan 
13,L'EPHEMERE AQUA MULTIFOCAL D MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span40€span span spanprecio webspan 
14,L'EPHEMERE AQUA MULTIFOCAL N MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span40€span span spanprecio webspan 
15,L'EPHEMERE AQUA TORIC MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span35€span span spanprecio webspan 
16,Dailies AquaComfort Plus 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span23€span span spanprecio webspan 
17,Dailies AquaComfort Plus 90L,Diarias,Lentillas,3 meses (para 1 ojo), span span span span60€span span spanprecio webspan 
18,Dailies AquaComfort Plus Multifocal 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span42€span span spanprecio webspan 
19,Dailies AquaComfort Plus Toric 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span42€span span spanprecio webspan 
20,Dailies Total 1 DIARIAS - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span35€span span spanprecio webspan 
21,Dailies Total 1 DIARIAS - 90L,Diarias,Lentillas,3 meses (para 1 ojo), span span span span99€span span spanprecio webspan 
22,Dailies Total 1 Multifocal 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span53€span span spanprecio webspan 
23,Dailies Total 1 Multifocal 90L,Diarias,Lentillas,3 meses (para 1 ojo), span span span span150€span span spanprecio webspan 
