,nombre_completo,categoria,producto,reemplazo,precio
0,GLENGARRY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
1,PERTHSHIRE,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
2,THORNYLEE,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
3,GALLOWAY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
4,ELIZABETH,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
5,DUNNET,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
6,CONTIN,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
7,AVIEMORE,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
8,ABERNETHY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
9,PHILLIP,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
10,RIBBLE,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
11,SPEY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
12,AVON,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
13,TWEED,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
14,MERSEY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
15,SEVERN,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
16,TAMESIS,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
17,JUSTIN,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
18,OWEN,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
19,ABBY,Gafas,Pepe Jeans,Ofertas montura + cristales,"99,90 €"
