,nombre_completo,categoria,producto,reemplazo,precio
0,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 90,Lentillas,Lentillas,Diarias,"49,95 €"
1,VISTASOFT LENTES DIARIAS CONFORT ASFÉRICAS 30,Lentillas,Lentillas,Diarias,"20,95 €"
2,VISTASOFT LENTES DIARIAS ASFÉRICAS 90,Lentillas,Lentillas,Diarias,"44,95 €"
3,VISTASOFT LENTES DIARIAS ASFÉRICAS 30,Lentillas,Lentillas,Diarias,"18,95 €"
4,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición Low),Lentillas,Lentillas,Diarias,"52,50 €"
5,1 DAY SILICONE MULTIFOCAL PREMIUM 30 (Adición High),Lentillas,Lentillas,Diarias,"52,50 €"
6,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -2,25)",Lentillas,Lentillas,Diarias,"48,50 €"
7,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,75)",Lentillas,Lentillas,Diarias,"48,50 €"
8,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -1,25)",Lentillas,Lentillas,Diarias,"48,50 €"
9,"1 DAY SILICONE TORIC PREMIUM 30 (Cilindro -0,75)",Lentillas,Lentillas,Diarias,"48,50 €"
10,1 DAY SILICONE PREMIUM (90 uds),Lentillas,Lentillas,Diarias,"85,50 €"
11,1 DAY SILICONE PREMIUM (30 uds),Lentillas,Lentillas,Diarias,"29,50 €"
12,LENTES 1 DAY TORIC SILICONE -2.25 cilindro (30 uds),Lentillas,Lentillas,Diarias,"42,50 €"
13,LENTES 1 DAY TORIC SILICONE -1.75 cilindro (30 uds),Lentillas,Lentillas,Diarias,"42,50 €"
14,LENTES 1 DAY TORIC SILICONE -1.25 cilindro (30 uds),Lentillas,Lentillas,Diarias,"42,50 €"
15,LENTES 1 DAY TORIC SILICONE -0.75 cilindro (30 uds),Lentillas,Lentillas,Diarias,"42,50 €"
16,LENTES DIARIAS TORICAS 1.75 cilindro (30 uds),Lentillas,Lentillas,Diarias,"38,50 €"
17,LENTES DIARIAS TORICAS -1.25 cilindro (30 uds ),Lentillas,Lentillas,Diarias,"38,50 €"
18,LENTES DIARIAS TORICAS -0.75 cilindro (30 uds ),Lentillas,Lentillas,Diarias,"38,50 €"
19,LENTES 1 DAY MULTIFOCAL SILICONE (30 uds),Lentillas,Lentillas,Diarias,"46,50 €"
20,LENTES 1 DAY SILICONE(90 uds),Lentillas,Lentillas,Diarias,"65,50 €"
21,LENTES 1 DAY SILICONE(30 uds),Lentillas,Lentillas,Diarias,"24,50 €"
