,nombre_completo,categoria,producto,remplazo,precio
0,SCALPERS ROMA 02,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
1,EXIT OU030 FP488/N,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
2,POLAROID PLD D482/G 789,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
3,POLAROID PLD 4143 S X 086 SP,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
4,TOMMYHILFIGER TH 2017 S PJP KU,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
5,POLAROID PLD D486 J5G,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
6,KYPERS KHADI KHD001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
7,KYPERS MIRANDA MRD003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
8,KYPERS ENRIQUE ERQ002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
9,KYPERS ENRIQUE ERQ003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
10,KYPERS THIAGO THG001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
11,KYPERS THIAGO THG002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
12,KYPERS THIAGO THG003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
13,KYPERS MONIQUE MNQ001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
14,KYPERS MONIQUE MNQ002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
15,KYPERS MONIQUE MNQ003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
16,KYPERS OLAF OLF003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
17,KYPERS CIRO CRO003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
18,KYPERS AGATTA AGT003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
19,KYPERS AGATTA AGT004,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
20,KYPERS ZITA ZTA001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
21,KYPERS HECTOR HCT001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
22,BEO S182 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
23,BEO S184 C2,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
24,BEO S184 C1,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
25,BEO S184 C3,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
26,BEO S183 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
27,BEO S178 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
28,BEO S181 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
29,BEO S181 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
30,BEO S179 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
31,BEO 532 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
32,BEO 532 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
33,BEO 531 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
34,BEO 531 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
35,BEO 529 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
