,nombre_completo,categoria,producto,reemplazo,precio
0,LIA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"109,90 €"
1,ANTONELLA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"109,90 €"
2,SIMONET,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
3,GUERMANTES,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
4,JULES,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
5,GUAITA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
6,MEAZZA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
7,ANGELO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
8,ALESSANDRO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
9,FIORELLA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
10,SCHIAVIO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
11,LORENZO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
12,GIOVANNI,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
13,GINA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
14,ALESSIA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
15,CONSTANZA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
16,ENZO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
17,ORNELLA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
18,LEONARDO,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
19,GABRIELLA,Gafas,Pedro del Hierro,Ofertas montura + cristales,"119,90 €"
