,Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
0,Alain Afflelou,ACUVUE® OASYS MAX 1-Day - 30L,Lentes de contacto,Acuvue,Diarias,40.0
1,Alain Afflelou,AIR OPTIX AQUA ESFÉRICA - 3L,Lentes de contacto,Air Optix,Mensual,31.0
2,Alain Afflelou,AIR OPTIX NIGHT & DAY - 6L,Lentes de contacto,Air Optix,Mensual,77.0
3,Alain Afflelou,AIR OPTIX NIGHT & DAY - 6L,Lentes de contacto,Air Optix,Mensual,77.0
4,Alain Afflelou,AIR OPTIX ESFÉRICA AQUA - 6L,Lentes de contacto,Air Optix,Mensual,48.5
5,Alain Afflelou,Air Optix Colors 2 L,Lentes de contacto,Air Optix,Mensual,26.0
6,Alain Afflelou,AIR OPTIX PLUS HYDRAGLYDE  - 3L,Lentes de contacto,Air Optix,Mensual,31.0
7,Alain Afflelou,ACUVUE OASYS MULTIFOCAL 6 L,Lentes de contacto,Acuvue,Quincenal,45.0
8,Alain Afflelou,1 DAY ACUVUE® MOIST® MULTIFOCAL 90P,Lentes de contacto,Acuvue,Diarias,90.0
9,Alain Afflelou,TOTAL 30 MENSUALES - 6L,Lentes de contacto,total 30,Mensual,57.0
10,Alain Afflelou,L'EPHEMERE AQUA PROTECT MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,28.0
11,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS  BLANCOangelical- 2L,Lentes de contacto,Marca Propia,Diarias,18.0
12,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS AZUL- 2L,Lentes de contacto,Marca Propia,Diarias,18.0
13,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS - 2L,Lentes de contacto,Marca Propia,Diarias,18.0
14,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS - 2L,Lentes de contacto,Marca Propia,Diarias,18.0
15,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS- 2L,Lentes de contacto,Marca Propia,Diarias,18.0
16,Alain Afflelou,CLEARCOLOR PHANTOM DIARIAS - 2L,Lentes de contacto,Marca Propia,Diarias,18.0
17,Alain Afflelou,L'EPHEMERE CONFORT PLUS MULTIFOCAL DIARIAS - 30L,Lentes de contacto,Marca Propia,Diarias,32.0
18,Alain Afflelou,L'EPHEMERE CONFORT PLUS TÓRICA DIARIA - 30L,Lentes de contacto,Marca Propia,Diarias,29.0
19,Alain Afflelou,L'EPHEMERE AIR CONFORT MULTIFOCAL MENSUALES  - 3L,Lentes de contacto,Marca Propia,Mensual,40.0
20,Alain Afflelou,L'EPHEMERE AIR CONFORT MULTIFOCAL MENSUALES  - 6L,Lentes de contacto,Marca Propia,Mensual,80.0
21,Alain Afflelou,L'EPHEMERE AQUA TORIC MENSUALES - 6L,Lentes de contacto,Marca Propia,Mensual,70.0
22,Alain Afflelou,L'EPHEMERE AIR CONFORT TORIC MENSUALES  - 3L,Lentes de contacto,Marca Propia,Mensual,35.0
23,Alain Afflelou,L'EPHEMERE AIR CONFORT MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,20.0
24,Alain Afflelou,1 DAYACUVUE® MOIST FOR ASTIGMATISM 30P,Lentes de contacto,Acuvue,Diarias,34.0
25,Alain Afflelou,Acuvue® Oasys® 1 Day for Astigmatism 30P,Lentes de contacto,Acuvue,Diarias,40.0
26,Alain Afflelou,Acuvue® Oasys® 1 Day 30P,Lentes de contacto,Acuvue,Diarias,35.0
27,Alain Afflelou,1 Day Acuvue® Moist® Multifocal 30P,Lentes de contacto,Acuvue,Diarias,37.0
28,Alain Afflelou,L'EPHEMERE CONFORT DIARIAS - 30L,Lentes de contacto,Marca Propia,Diarias,15.0
29,Alain Afflelou,AIROPTIX HYDRAGLYDE MENSUALES - 6L,Lentes de contacto,Air Optix,Mensual,48.0
30,Alain Afflelou,Air Optix Hydraglyde Multifocal MENSUALES - 3L,Lentes de contacto,Air Optix,Mensual,44.0
31,Alain Afflelou,Air Optix Hydraglyde Multifocal MENSUALES - 6L,Lentes de contacto,Air Optix,Mensual,78.0
32,Alain Afflelou,AIR OPTIX HYDRAGLYDE FOR ASTIGMATISM - 3L,Lentes de contacto,Air Optix,Mensual,44.0
33,Alain Afflelou,Air Optix Hydraglyde for Astigmatism 6L,Lentes de contacto,Air Optix,Mensual,80.0
34,Alain Afflelou,L'EPHEMERE EASY MENSUALES - 6L,Lentes de contacto,Marca Propia,Mensual,30.0
35,Alain Afflelou,L'EPHEMERE AQUA MENSUALES - 6L,Lentes de contacto,Marca Propia,Mensual,40.0
36,Alain Afflelou,L'EPHEMERE AQUA MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,20.0
37,Alain Afflelou,L'EPHEMERE AQUA MULTIFOCAL D MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,40.0
38,Alain Afflelou,L'EPHEMERE AQUA MULTIFOCAL N MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,40.0
39,Alain Afflelou,L'EPHEMERE AQUA TORIC MENSUALES - 3L,Lentes de contacto,Marca Propia,Mensual,35.0
40,Alain Afflelou,Dailies AquaComfort Plus 30L,Lentes de contacto,Dailies,Diarias,23.0
41,Alain Afflelou,Dailies AquaComfort Plus 90L,Lentes de contacto,Dailies,Diarias,60.0
42,Alain Afflelou,Dailies AquaComfort Plus Multifocal 30L,Lentes de contacto,Dailies,Diarias,42.0
43,Alain Afflelou,Dailies AquaComfort Plus Toric 30L,Lentes de contacto,Dailies,Diarias,42.0
44,Alain Afflelou,Dailies Total 1 DIARIAS - 30L,Lentes de contacto,Dailies,Diarias,35.0
45,Alain Afflelou,Dailies Total 1 DIARIAS - 90L,Lentes de contacto,Dailies,Diarias,99.0
