,Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
0,Óptica Universitaria,PRECISION1™ 30 UNIDADES DIARIA,Lentes de contacto,Precision1,Diarias,22.5
1,Óptica Universitaria,LENTSOFT DIARIA HIDROGEL ASTIGMATISMO 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,25.0
2,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS 30 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,26.0
3,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS 90 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,75.0
4,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS MULTIFOCAL 30 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,33.0
5,Óptica Universitaria,DAILIES™ TOTAL1™ 30 UNIDADES DIARIAS,Lentes de contacto,total 30,Diarias,33.5
6,Óptica Universitaria,DAILIES™ TOTAL1™ 90 UNIDADES DIARIAS,Lentes de contacto,total 30,Diarias,80.0
7,Óptica Universitaria,LENTSOFT DIARIA SILICONA 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,17.0
8,Óptica Universitaria,ACUVUE® OASYS MAX 1-Day 30 UNIDADES,Lentes de contacto,Acuvue,Diarias,35.0
9,Óptica Universitaria,PRECISION1™ ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de contacto,Precision1,Diarias,34.0
10,Óptica Universitaria,PRECISION1™ ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de contacto,Precision1,Diarias,95.0
11,Óptica Universitaria,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,80.0
12,Óptica Universitaria,LENTSOFT DIARIA HIDROGEL MULTIFOCAL 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,29.0
13,Óptica Universitaria,PRECISION1™ 90 UNIDADES DIARIA,Lentes de contacto,Precision1,Diarias,67.0
14,Óptica Universitaria,MyDay™ MULTIFOCAL 30 UNIDADES,Lentes de contacto,Biofinity,Diarias,49.0
