,nombre_completo,categoria,producto,reemplazo,precio
0,ANDERSSON,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
1,PATSY,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
2,RYTHM,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
3,ABBA,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
4,GAYNOR,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
5,DIRK,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
6,VINYL,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
7,GLITTER,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
8,DONNA,Gafas,Custo Barcelona,Ofertas montura + cristales,"109,90 €"
9,BARCELO,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
10,REGO,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
11,SOROLLA,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
12,MURILLO,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
13,BASQUIAT,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
14,BRAQUE,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
15,ALEGRE,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
16,MARMALADE,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
17,LYCA,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
18,CORONA,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
19,BONNIE,Gafas,Custo Barcelona,Ofertas montura + cristales,"119,90 €"
