,nombre_completo,categoria,producto,remplazo,precio
0,BEO 529C 01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
1,BEO 529 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
2,BEO 530 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
3,BEO 530 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
4,BEO 530 C04,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
5,BEO 525 C2,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
6,BEO 528 C3,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
7,BEO 528 C1,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
8,BEO 527 C1,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
9,BEO 527 C3 ,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
10,BEO 526 C3,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
11,BEO 534 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
12,BEO 534 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
13,BEO S180 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
14,BEO S180 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
15,EXIT JIL023 FP406,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
16,EXIT JIL023 FP382,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
17,EXIT JIL023 FP476,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
18,EXIT ABC070 FP495,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
19,EXIT ABC069 FP494,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
20,EXIT ABC068 FP428,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
21,EXIT ABC068 FP287,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
22,EXIT JIL005 FP515,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
23,EXIT JIL005 FP382 ,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
24,EXIT ABC068 FP494,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
25,SCALPERS SINGAPUR 04,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
26,SCALPERS MANILA 01,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
27,SCALPERS MANILA 03,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
28,SCALPERS MANILA 02,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
29,SCALPERS MANILA 04,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
30,SCALPERS BOMBAY 01,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
31,SCALPERS BOMBAY 02,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
32,SCALPERS BOMBAY 03,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
33,SCALPERS YAKARTA 03,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
34,SCALPERS YAKARTA 01,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
35,SCALPERS ROMA 04 ,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
