,nombre_completo,categoria,producto,remplazo,precio
0,AIR OPTIX™ PLUS HYDRAGLYDE™ 6 UNIDADES MENSUAL,Lentillas,Air Optix,Lentillas mensuales: Mensuales,31
1,AIR OPTIX™ PLUS HYDRAGLYDE™ ASTIGMATISMO 6 UNIDADES MENSUAL,Lentillas,Air Optix,Lentillas mensuales: Mensuales,59
2,LENTSOFT MENSUAL CONFORT+ SILICONA ASTIGMATISMO 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,49
3,LENTSOFT MENSUAL CONFORT+ SILICONA MULTIFOCAL 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,49
4,LENTSOFT MENSUAL SILICONA 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,27
5,LENTSOFT MENSUAL SILICONA ASTIGMATISMO 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,49
6,LENTSOFT MENSUAL CONFORT+ SILICONA 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,29
7,LENTSOFT MENSUAL SILICONA MULTIFOCAL XR 6 UDS,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,84
8,LENTSOFT MENSUAL SILICONA  MULTIFOCAL ASTIGMATISMO XR 6 UDS,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,89
9,LENTSOFT MENSUAL SILICONA XR 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,68
10,LENTSOFT MENSUAL SILICONA ASTIGMATISMO XR 6 UDS,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,84
11,LENTSOFT MENSUAL HIDROGEL ASTIGMATISMO 6 uni.,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,44
12,LENTSOFT MENSUAL HIDROGEL 6 uni.,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,19
13,BIOFINITY™ XR ASTIGMATISMO MULTIFOCAL 3 UNIDADES MENSUAL,Lentillas,Biofinity,Lentillas mensuales: Mensuales,59
14,BIOFINITY™ 6 UNIDADES MENSUAL,Lentillas,Biofinity,Lentillas mensuales: Mensuales,37
15,BIOFINITY ASTIGMATISMO 6 UNIDADES MENSUAL,Lentillas,Biofinity,Lentillas mensuales: Mensuales,59
16,AIR OPTIX™ PLUS HYDRAGLYDE™ MULTIFOCAL 6 UNIDADES MENSUAL,Lentillas,Air Optix,Lentillas mensuales: Mensuales,59
17,ACUVUE™ VITA ASTIGMATISM 6 UNIDADES MENSUAL,Lentillas,Acuvue,Lentillas mensuales: Mensuales,50
18,LENTSOFT MENSUAL SILICONA MULTIFOCAL 6 UNIDADES,Lentillas,Lentsoft,Lentillas mensuales: Mensuales,49
19,FRESHLOOK™ COLORBLENDS™ 2 UNIDADES MENSUAL,Lentillas,Freshlook,Lentillas mensuales: Mensuales,22
20,AIR OPTIX™ COLORS GRADUADO 2 UNIDADES MENSUAL,Lentillas,Air Optix colors,Lentillas mensuales: Mensuales,28
21,AIR OPTIX™ COLORS 2 UNIDADES MENSUAL,Lentillas,Air Optix colors,Lentillas mensuales: Mensuales,28
22,ACUVUE™ VITA 6 UNIDADES MENSUAL,Lentillas,Acuvue,Lentillas mensuales: Mensuales,32
23,LENTILLA GRADUADA FANTASIA RX 1 UNIDAD MENSUAL,Lentillas,Servilens,Lentillas mensuales: Mensuales,22
