,Empresa,Nombre completo,Categoria,Producto,Precio
0,Alain Afflelou,Afflelou AFFLELOU FORTY SOLAR COLOR CAREY,Ofertas montura + cristales,Marca Propia,39.0
1,Alain Afflelou,Afflelou FORTY FILTRO LUZ AZUL - NEGRO,Ofertas montura + cristales,Marca Propia,39.0
2,Alain Afflelou,Afflelou BLUE BLOCK 1 MIXTE,Ofertas montura + cristales,Marca Propia,39.0
3,Alain Afflelou,Afflelou ROMY,Ofertas montura + cristales,Marca Propia,99.0
4,Alain Afflelou,Afflelou CARLA,Ofertas montura + cristales,Marca Propia,99.0
5,Alain Afflelou,Afflelou BETSY,Ofertas montura + cristales,Marca Propia,99.0
6,Alain Afflelou,Afflelou MAGIC ARNO,Ofertas montura + cristales,Marca Propia,99.0
7,Alain Afflelou,Afflelou MAGIC TOM,Ofertas montura + cristales,Marca Propia,99.0
8,Alain Afflelou,Afflelou MAGIC AYDEN,Ofertas montura + cristales,Marca Propia,99.0
9,Alain Afflelou,Afflelou MAGIC ACHILLE,Ofertas montura + cristales,Marca Propia,99.0
10,Alain Afflelou,Afflelou MAGIC JAMES,Ofertas montura + cristales,Marca Propia,99.0
11,Alain Afflelou,Afflelou MAGIC ANGELO,Ofertas montura + cristales,Marca Propia,99.0
12,Alain Afflelou,Afflelou MAGIC MARINE,Ofertas montura + cristales,Marca Propia,99.0
13,Alain Afflelou,Afflelou MAGIC LEA,Ofertas montura + cristales,Marca Propia,99.0
14,Alain Afflelou,Afflelou MAGIC LEON,Ofertas montura + cristales,Marca Propia,99.0
15,Alain Afflelou,Afflelou MAGIC ISALINE,Ofertas montura + cristales,Marca Propia,99.0
16,Alain Afflelou,Afflelou MAGIC SAMSON,Ofertas montura + cristales,Marca Propia,99.0
17,Alain Afflelou,Afflelou MAGIC TIM,Ofertas montura + cristales,Marca Propia,99.0
18,Alain Afflelou,Afflelou MAGIC IRIS,Ofertas montura + cristales,Marca Propia,99.0
19,Alain Afflelou,Afflelou MAGIC GASPARD,Ofertas montura + cristales,Marca Propia,99.0
20,Alain Afflelou,Afflelou MAGIC ARTHUR,Ofertas montura + cristales,Marca Propia,99.0
21,Alain Afflelou,Afflelou MAGIC MARCUS,Ofertas montura + cristales,Marca Propia,99.0
22,Alain Afflelou,Afflelou MAGIC MIKA,Ofertas montura + cristales,Marca Propia,99.0
23,Alain Afflelou,Afflelou MAGIC MAVERICK,Ofertas montura + cristales,Marca Propia,99.0
24,Alain Afflelou,Afflelou MAGIC TAHINA,Ofertas montura + cristales,Marca Propia,99.0
25,Alain Afflelou,Afflelou MAGIC MAELY,Ofertas montura + cristales,Marca Propia,99.0
