,Empresa,Nombre completo,Categoria,Producto,Precio
0,Óptica Universitaria,BOSTON LIMPIADOR 30 ml.,Líquidos,Boston,7.5
1,Óptica Universitaria,BOSTON SIMPLUS 120 ML,Líquidos,Boston,9.0
2,Óptica Universitaria,HUMECTANTE ACONDICIONADOR BOSTON 120 ml.,Líquidos,Boston,8.5
3,Óptica Universitaria,HIDRO HEALTH SiH 360 ML,Líquidos,Disop,7.5
4,Óptica Universitaria,ACUAISS BAÑO OCULAR 100 ML,Líquidos,Disop,5.0
5,Óptica Universitaria,ENZIMAS NACLENS 10 TABLETAS,Líquidos,Disop,6.25
6,Óptica Universitaria,OPTI-FREE EXPRESS 355 ML.,Líquidos,Opti-Free,8.9
7,Óptica Universitaria,OPTI-FREE PUREMOIST 300 ML,Líquidos,Opti-Free,13.5
8,Óptica Universitaria,RENU MULTIPLUS 500 ml,Líquidos,Renu,10.5
9,Óptica Universitaria,SYSTANE™ TOALLITAS PARA LIMPIEZA OCULAR HIPOALERGENICAS 30 UNIDADES,Líquidos,Systane,15.0
10,Óptica Universitaria,SYSTANE™ COMPLETE - GOTAS OFTALOMICAS SIN CONSERVANTES 10ML.,Líquidos,Systane,13.0
11,Óptica Universitaria,SYSTANE™ ULTRA 10 ml.,Líquidos,Systane,11.0
12,Óptica Universitaria,SYSTANE™ ULTRA MONODOSIS 30 UNIDADES SIN CONSERVANTES,Líquidos,Systane,11.0
13,Óptica Universitaria,SYSTANE™ GEL DROPS 10 ML.,Líquidos,Systane,11.0
14,Óptica Universitaria,LENTSOFT SOLUCIÓN ÚNICA 360 ML,Líquidos,Marca Propia,4.5
15,Óptica Universitaria,LENTSOFT MONODOSIS (20 X 0.35ml),Líquidos,Marca Propia,5.5
16,Óptica Universitaria,LENTSOFT 100 ML (VIAJE),Líquidos,Marca Propia,2.5
17,Óptica Universitaria,LENTSOFT GOTAS HUMECTANTES 6ML ,Líquidos,Marca Propia,4.5
18,Óptica Universitaria,LENTSOFT SOLUCIÓN UNICA HIDRATANTE 360 ML,Líquidos,Marca Propia,6.5
19,Óptica Universitaria,LENTSOFT SOLUCIÓN ÚNICA HIDRATANTE 100 ML,Líquidos,Marca Propia,3.5
20,Óptica Universitaria,LENTSOFT SOLUCIÓN PERÓXIDO 250 ML,Líquidos,Marca Propia,6.5
21,Óptica Universitaria,LENTSOFT SOLUCION SALINA 360 ML,Líquidos,Marca Propia,3.0
