,nombre_completo,categoria,precio
0,Afflelou MAGIC TAHINA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
1,Afflelou MAGIC MAELY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
2,Afflelou MAGIC SOHANE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
3,Afflelou MAGIC MAREVA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
4,Afflelou MAGIC JIMMY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
5,Afflelou MAGIC GAELLA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
6,Afflelou MAGIC VALENTINA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
7,Afflelou MAGIC PALOMA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
8,Afflelou MAGIC KELLY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
9,Afflelou MAGIC RAPHAEL,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
10,Afflelou MAGIC JULES,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
11,Afflelou MAGIC PHILIPPE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
12,Afflelou MAGIC XAVIER,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
13,Afflelou MAGIC LEO,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
14,Afflelou MAGIC CAMILLA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
15,Afflelou MAGIC LUDIVINE,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
16,Afflelou MAGIC MAUREEN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
17,Afflelou MAGIC JUDITH,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
18,Afflelou MAGIC GOBAIN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
19,Afflelou MAGIC BABETH,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
20,Afflelou MAGIC JAMY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
21,Afflelou MAGIC GEOFFROY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
22,Afflelou MAGIC YVES,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
23,Afflelou MAGIC KAY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
