,nombre_completo,categoria,producto,reemplazo,precio
0,ACUVUE® OASYS MAX 1-Day - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span40€span span spanprecio webspan 
1,AIR OPTIX AQUA ESFÉRICA - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span31€span span spanprecio webspan 
2,AIR OPTIX NIGHT & DAY - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span77€span span spanprecio webspan 
3,AIR OPTIX NIGHT & DAY - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span77€span span spanprecio webspan 
4,AIR OPTIX ESFÉRICA AQUA - 6L,Mensuales,Lentillas,6 meses (para 1 ojo)," span span span span48,5€span span spanprecio webspan "
5,Air Optix Colors 2 L,Mensuales,Lentillas,2 meses (para 1 ojo), span span span span26€span span spanprecio webspan 
6,AIR OPTIX PLUS HYDRAGLYDE  - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span31€span span spanprecio webspan 
7,ACUVUE OASYS MULTIFOCAL 6 L,Quincenales,Lentillas,3 meses (para 1 ojo), span span span span45€span span spanprecio webspan 
8,1 DAY ACUVUE® MOIST® MULTIFOCAL 90P,Diarias,Lentillas,3 meses (para 1 ojo), span span span span90€span span spanprecio webspan 
9,TOTAL 30 MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span57€span span spanprecio webspan 
10,L'EPHEMERE AQUA PROTECT MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span28€span span spanprecio webspan 
11,CLEARCOLOR PHANTOM DIARIAS  BLANCOangelical- 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
12,CLEARCOLOR PHANTOM DIARIAS AZUL- 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
13,CLEARCOLOR PHANTOM DIARIAS - 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
14,CLEARCOLOR PHANTOM DIARIAS - 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
15,CLEARCOLOR PHANTOM DIARIAS- 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
16,CLEARCOLOR PHANTOM DIARIAS - 2L,Diarias,Lentillas, (para 1 ojo), span span span span18€span span spanprecio webspan 
17,L'EPHEMERE CONFORT PLUS MULTIFOCAL DIARIAS - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span32€span span spanprecio webspan 
18,L'EPHEMERE CONFORT PLUS TÓRICA DIARIA - 30L,Diarias,Lentillas,1 mes (para 1 ojo), span span span span29€span span spanprecio webspan 
19,L'EPHEMERE AIR CONFORT MULTIFOCAL MENSUALES  - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span40€span span spanprecio webspan 
20,L'EPHEMERE AIR CONFORT MULTIFOCAL MENSUALES  - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span80€span span spanprecio webspan 
21,L'EPHEMERE AQUA TORIC MENSUALES - 6L,Mensuales,Lentillas,6 meses (para 1 ojo), span span span span70€span span spanprecio webspan 
22,L'EPHEMERE AIR CONFORT TORIC MENSUALES  - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span35€span span spanprecio webspan 
23,L'EPHEMERE AIR CONFORT MENSUALES - 3L,Mensuales,Lentillas,3 meses (para 1 ojo), span span span span20€span span spanprecio webspan 
