,nombre_completo,categoria,producto,reemplazo,precio
0,FREDRIK,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
1,ASTRID,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
2,ANIKA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
3,FILIPPA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
4,KATRINA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
5,ELGA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
6,BRITA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
7,ERIC,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
8,AXEL,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
9,NILSA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
10,MATHILDA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
11,LISBET,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
12,GUNNAR,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
13,SOREN,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
14,INGA,Gafas,The Look,Ofertas montura + cristales,"94,90 €"
15,DEANNA,Gafas,The Look,Ofertas montura + cristales,"99,90 €"
16,NICK,Gafas,The Look,Ofertas montura + cristales,"99,90 €"
17,RYDER,Gafas,The Look,Ofertas montura + cristales,"99,90 €"
18,ROURKE,Gafas,The Look,Ofertas montura + cristales,"99,90 €"
19,BAGGY,Gafas,The Look,Ofertas montura + cristales,"99,90 €"
