,nombre_completo,categoria,producto,remplazo,precio
0,BEO S179 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
1,BEO 526 C1,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
2,KYPERS TONYA TNY001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
3,KYPERS ENRIQUE ERQ001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
4,BEO S182 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
5,BEO S183 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
6,BEO 525 C1,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
7,BEO 527 C2,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
8,KYPERS MIRANDA MRD001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
9,KYPERS MIRANDA MRD002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
10,KYPERS OLAF OLF001 ,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
11,KYPERS AGATTA AGT001,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
12,KYPERS ZITA ZTA002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
13,KYPERS ZITA ZTA003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
14,KYPERS HECTOR HCT002,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
15,KYPERS HECTOR HCT003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
16,KYPERS POL POL003,Promociones/Ofertas montura + cristales,Kypers,Ofertas montura + cristales,49
17,BEO S182 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
18,BEO S178 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
19,BEO S179 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
20,BEO 532 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
21,BEO 533 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
22,BEO 533 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
23,BEO 533 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
24,BEO 531 C01,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
25,BEO 529 C04,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
26,BEO 530 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
27,BEO 525 C3,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
28,BEO 528 C2,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
29,BEO 534 C03,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
30,BEO S180 C02,Promociones/Ofertas montura + cristales,BeO,Ofertas montura + cristales,49
31,EXIT ABC070 FP513,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,49
32,SCALPERS SINGAPUR 01,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
33,SCALPERS SINGAPUR 02,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
34,SCALPERS SINGAPUR 03 ,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
35,SCALPERS YAKARTA 02,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
