,nombre_completo,categoria,producto,remplazo,precio
0,DAILIES™ AQUACOMFORT™ PLUS ASTIGMATISMO 30 UNIDADES DIARIA,Lentillas,Dailies,Lentillas diarias: Diarias,29
1,LENTSOFT DIARIA HIDROGEL 30 UNIDADES,Lentillas,Lentsoft,Lentillas diarias: Diarias,15.9
2,1-DAY™ ACUVUE™ MOIST 30 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,24
3,1-DAY™ ACUVUE™ MOIST 90 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,65
4,1-DAY™ ACUVUE™ OASYS 30 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,30
5,1-DAY™ ACUVUE™ OASYS 90 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,74
6,LENTSOFT DIARIA SILICONA ASTIGMATISMO 30 UNIDADES,Lentillas,Lentsoft,Lentillas diarias: Diarias,31
7,LENTSOFT DIARIA SILICONA MULTIFOCAL 30 UNIDADES,Lentillas,Lentsoft,Lentillas diarias: Diarias,36
8,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 30 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,31
9,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 30 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,36
10,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 90 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,76
11,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 30 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,33
12,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 90 UNIDADES DIARIA,Lentillas,Acuvue,Lentillas diarias: Diarias,79
13,LENTILLAS FANTASIA CRAZY LENS 2 UNIDADES SEMANAL,Lentillas,Disop,Lentillas diarias: Diarias,15
